name,bus0,bus1,num_parallel_275,num_parallel_400,num_parallel_765
0,PINETOWN,EMPANGENI,2,0,0
1,PINETOWN,LADYSMITH,2,2,0
2,PINETOWN,NEWCASTLE,0,2,0
3,PINETOWN,EAST LONDON,0,0,0
4,CARLETONVILLE,WESTRAND,0,5,0
5,CARLETONVILLE,WELKOM,0,0,1
6,CARLETONVILLE,KIMBERLEY,0,0,0
7,CARLETONVILLE,VAAL TRIANGLE,1,0,1
8,CARLETONVILLE,RUSTENBURG,2,3,0
9,HIGHVELD SOUTH,HIGHVELD NORTH,6,4,0
10,HIGHVELD SOUTH,WELKOM,0,2,0
11,HIGHVELD SOUTH,NIGEL,4,7,1
12,HIGHVELD SOUTH,BLOEMFONTEIN,0,0,2
13,HIGHVELD SOUTH,NEWCASTLE,0,6,0
14,VAAL TRIANGLE,WESTRAND,2,0,0
15,VAAL TRIANGLE,WELKOM,2,0,0
16,VAAL TRIANGLE,NIGEL,2,3,0
17,VAAL TRIANGLE,JOHANNESBURG,0,0,0
18,RUSTENBURG,WESTRAND,0,0,0
19,RUSTENBURG,WATERBERG,2,4,0
20,RUSTENBURG,PRETORIA,0,1,0
21,RUSTENBURG,WARMBAD,0,0,0
22,SOUTHERN CAPE,PORT ELIZABETH,0,0,0
23,SOUTHERN CAPE,KAROO,0,3,0
24,SOUTHERN CAPE,PENINSULA,0,4,0
25,SOUTHERN CAPE,WEST COAST,0,0,0
26,WESTRAND,PRETORIA,0,2,0
27,WESTRAND,JOHANNESBURG,1,0,0
28,LOWVELD,POLOKWANE,0,1,0
29,LOWVELD,HIGHVELD NORTH,5,3,0
30,LOWVELD,PRETORIA,0,0,0
31,LADYSMITH,EMPANGENI,0,1,0
32,LADYSMITH,BLOEMFONTEIN,0,0,0
33,LADYSMITH,NEWCASTLE,2,2,0
34,PENINSULA,WEST COAST,0,3,0
35,PRETORIA,HIGHVELD NORTH,0,8,0
36,PRETORIA,NIGEL,0,0,0
37,PRETORIA,JOHANNESBURG,6,1,0
38,PRETORIA,POLOKWANE,0,0,2
39,PRETORIA,WARMBAD,1,0,0
40,BLOEMFONTEIN,WELKOM,1,3,1
41,BLOEMFONTEIN,NEWCASTLE,0,0,0
42,BLOEMFONTEIN,KAROO,0,4,2
43,BLOEMFONTEIN,KIMBERLEY,2,0,0
44,JOHANNESBURG,NIGEL,4,0,0
45,HIGHVELD NORTH,NIGEL,0,0,0
46,KAROO,PORT ELIZABETH,0,2,0
47,KAROO,NAMAQUALAND,0,1,0
48,KAROO,EAST LONDON,0,1,0
49,KAROO,WEST COAST,0,0,0
50,KAROO,KIMBERLEY,0,0,0
51,KIMBERLEY,WELKOM,0,0,0
52,KIMBERLEY,NAMAQUALAND,0,0,0
53,EMPANGENI,NEWCASTLE,0,2,0
54,EAST LONDON,PORT ELIZABETH,1,1,0
55,POLOKWANE,WATERBERG,0,2,0
56,POLOKWANE,WARMBAD,1,0,0
57,WELKOM,NIGEL,1,1,1
58,WATERBERG,WARMBAD,0,0,0
59,NAMAQUALAND,WEST COAST,0,2,0
