name,bus0,bus1,num_parallel_275,num_parallel_400,num_parallel_765,,,name,bus0,bus1,num_parallel_275,num_parallel_400,num_parallel_765
0,PENINSULA,WEST COAST,0,3,0,,,0,WESTERN CAPE,NORTHERN CAPE,0,6,0
,SOUTHERN CAPE,WEST COAST,0,0,0,,,1,WESTERN CAPE,EASTERN CAPE,0,0,0
,SOUTHERN CAPE,KAROO,0,3,0,,,2,NORTHERN CAPE,EASTERN CAPE,0,3,0
,,,,,,,,3,NORTHERN CAPE,FREE STATE,2,4,2
1,SOUTHERN CAPE,PORT ELIZABETH,0,0,0,,,4,NORTHERN CAPE,NORTH WEST,0,0,0
,,,,,,,,5,FREESTATE,NORTH WEST,0,0,1
2,KAROO,PORT ELIZABETH,0,2,0,,,6,NORTH WEST,GAUTENG,1,6,1
,KAROO,EAST LONDON,0,1,0,,,7,NORTH WEST,LIMPOPO,2,4,0
,,,,,,,,8,GAUTENG,LIMPOPO,,,
3,BLOEMFONTEIN,KAROO,0,4,2,,,9,GAUTENG,MPUMALANGA,,,
,BLOEMFONTEIN,KIMBERLEY,2,0,0,,,10,,,,,
,,,,,,,,11,,,,,
4,CARLETONVILLE,KIMBERLEY,0,0,0,,,12,,,,,
,,,,,,,,13,,,,,
5,CARLETONVILLE,WELKOM,0,0,1,,,,,,,,
,,,,,,,,,,,,,
6,CARLETONVILLE,VAAL TRIANGLE,1,0,1,,,,,,,,
,CARLETONVILLE,WESTRAND,0,5,0,,,,,,,,
,RUSTENBURG,PRETORIA,0,1,0,,,,,,,,
,RUSTENBURG,WESTRAND,0,0,0,,,,,,,,
,,,,,,,,,,,,,
7,RUSTENBURG,WATERBERG,2,4,0,,,,,,,,
,RUSTENBURG,WARMBAD,0,0,0,,,,,,,,
,,,,,,,,,,,,,
8,,,,,,,,,,,,,
